2000	1990	1980	1970	1960	1950	1940	1930	1920
Emily 	Jessica 	Jessica 	Jennifer 	Lisa 	Mary 	Mary 	Mary 	Mary 
Madison 	Ashley 	Jennifer 	Amy 	Mary 	Linda 	Linda 	Betty 	Dorothy 
Emma 	Emily 	Amanda 	Melissa 	Susan 	Patricia 	Barbara 	Barbara 	Helen 
Hannah 	Sarah 	Ashley 	Michelle 	Karen 	Susan 	Patricia 	Shirley 	Betty 
Olivia 	Samantha 	Sarah 	Kimberly 	Kimberly 	Deborah 	Carol 	Patricia 	Margaret 
Abigail 	Amanda 	Stephanie 	Lisa 	Patricia 	Barbara 	Sandra 	Dorothy 	Ruth 
Ashley 	Brittany 	Melissa 	Angela 	Linda 	Debra 	Nancy 	Joan 	Virginia 
Samantha 	Elizabeth 	Nicole 	Heather 	Donna 	Karen 	Sharon 	Margaret 	Doris 
Alexis 	Taylor 	Elizabeth 	Stephanie 	Michelle 	Nancy 	Judith 	Nancy 	Mildred 
Elizabeth 	Megan 	Heather 	Nicole 	Cynthia 	Donna 	Susan 	Helen 	Frances 
Isabella 	Hannah 	Tiffany 	Jessica 	Sandra 	Cynthia 	Betty 	Carol 	Elizabeth 
Sarah 	Kayla 	Michelle 	Elizabeth 	Deborah 	Sandra 	Carolyn 	Joyce 	Evelyn 
Alyssa 	Lauren 	Amber 	Rebecca 	Tammy 	Pamela 	Margaret 	Doris 	Anna 
Grace 	Stephanie 	Megan 	Kelly 	Pamela 	Sharon 	Shirley 	Ruth 	Marie 
Sophia 	Rachel 	Amy 	Mary 	Lori 	Kathleen 	Judy 	Virginia 	Alice 
Lauren 	Jennifer 	Rachel 	Christina 	Laura 	Carol 	Karen 	Marilyn 	Jean 
Taylor 	Nicole 	Kimberly 	Amanda 	Elizabeth 	Diane 	Donna 	Elizabeth 	Shirley 
Brianna 	Alexis 	Christina 	Julie 	Julie 	Brenda 	Kathleen 	Jean 	Barbara 
Jessica 	Victoria 	Lauren 	Sarah 	Brenda 	Cheryl 	Joyce 	Frances 	Irene 
Kayla 	Amber 	Crystal 	Laura 	Jennifer 	Janet 	Dorothy 	Beverly 	Marjorie 
Anna 	Alyssa 	Brittany 	Shannon 	Barbara 	Elizabeth 	Janet 	Lois 	Florence 
Natalie 	Courtney 	Rebecca 	Christine 	Angela 	Kathy 	Diane 	Alice 	Lois 
Chloe 	Danielle 	Laura 	Tammy 	Sharon 	Margaret 	Janice 	Donna 	Martha 
Ava 	Rebecca 	Danielle 	Tracy 	Debra 	Janice 	Joan 	Martha 	Rose 
Victoria 	Jasmine 	Emily 	Karen 	Teresa 	Carolyn 	Elizabeth 	Dolores 	Lillian 
Hailey 	Brianna 	Samantha 	Dawn 	Nancy 	Denise 	Brenda 	Janet 	Louise 
Sydney 	Katherine 	Angela 	Susan 	Christine 	Judy 	Gloria 	Phyllis 	Catherine 
Jasmine 	Alexandra 	Erin 	Andrea 	Cheryl 	Rebecca 	Virginia 	Norma 	Ruby 
Mia 	Madison 	Kelly 	Tina 	Denise 	Joyce 	Marilyn 	Carolyn 	Eleanor 
Morgan 	Morgan 	Sara 	Patricia 	Kelly 	Teresa 	Martha 	Evelyn 	Patricia 
Rachel 	Melissa 	Lisa 	Cynthia 	Tina 	Christine 	Beverly 	Gloria 	Gladys 
Megan 	Michelle 	Katherine 	Lori 	Kathleen 	Catherine 	Helen 	Anna 	Annie 
Julia 	Kelsey 	Andrea 	Rachel 	Melissa 	Shirley 	Bonnie 	Marie 	Josephine 
Destiny 	Chelsea 	Jamie 	April 	Robin 	Judith 	Ruth 	Ann 	Thelma 
Kaitlyn 	Anna 	Mary 	Maria 	Amy 	Betty 	Frances 	Mildred 	Edna 
Jennifer 	Kimberly 	Erica 	Wendy 	Diane 	Beverly 	Jean 	Rose 	Norma 
Katherine 	Tiffany 	Courtney 	Crystal 	Dawn 	Lisa 	Ann 	Peggy 	Pauline 
Savannah 	Olivia 	Kristen 	Stacy 	Carol 	Laura 	Phyllis 	Geraldine 	Lucille 
Alexandra 	Mary 	Shannon 	Erin 	Tracy 	Theresa 	Pamela 	Catherine 	Edith 
Haley 	Christina 	April 	Jamie 	Kathy 	Connie 	Jane 	Judith 	Gloria 
Nicole 	Allison 	Katie 	Carrie 	Rebecca 	Ann 	Alice 	Louise 	Ethel 
Ella 	Abigail 	Lindsey 	Tiffany 	Theresa 	Julie 	Peggy 	Janice 	Phyllis 
Maria 	Sara 	Kristin 	Tara 	Kim 	Gloria 	Cheryl 	Marjorie 	Grace 
Allison 	Shelby 	Lindsay 	Sandra 	Rhonda 	Gail 	Doris 	Annie 	Hazel 
Mackenzie 	Heather 	Christine 	Monica 	Stephanie 	Joan 	Catherine 	Ruby 	June 
Brooke 	Haley 	Alicia 	Danielle 	Cindy 	Paula 	Elaine 	Eleanor 	Bernice 
Stephanie 	Maria 	Vanessa 	Stacey 	Janet 	Peggy 	Cynthia 	Jane 	Marion 
Makayla 	Kaitlyn 	Maria 	Pamela 	Wendy 	Cindy 	Marie 	Sandra 	Dolores 
Kaylee 	Laura 	Kathryn 	Tonya 	Maria 	Martha 	Lois 	Irene 	Rita 
Amanda 	Erin 	Allison 	Sara 	Michele 	Bonnie 	Connie 	Wanda 	Lorraine 
Faith 	Andrea 	Julie 	Michele 	Jacqueline 	Jane 	Christine 	Elaine 	Ann 
Andrea 	Natalie 	Anna 	Teresa 	Debbie 	Cathy 	Diana 	June 	Esther 
Katelyn 	Jordan 	Tara 	Denise 	Margaret 	Robin 	Gail 	Joanne 	Beatrice 
Lily 	Brooke 	Kayla 	Jill 	Paula 	Debbie 	Joanne 	Rita 	Juanita 
Gabrielle 	Julia 	Natalie 	Katherine 	Sherry 	Diana 	Rose 	Florence 	Clara 
Jenna 	Emma 	Victoria 	Melanie 	Catherine 	Marilyn 	Wanda 	Delores 	Jane 
Kimberly 	Vanessa 	Monica 	Dana 	Carolyn 	Kathryn 	Carole 	Lillian 	Geraldine 
Mary 	Erica 	Jacqueline 	Holly 	Laurie 	Dorothy 	Rita 	Marlene 	Sarah 
Madeline 	Sydney 	Holly 	Erica 	Sheila 	Wanda 	Charlotte 	Edna 	Emma 
Zoe 	Kelly 	Kristina 	Brenda 	Ann 	Jean 	Jo 	Sarah 	Joan 
